index,doi
22541,10.1016/j.oceaneng.2019.106250
22542,10.1016/j.oceaneng.2019.106201
22542,10.1016/j.oceaneng.2019.106201
22546,10.1016/j.oceaneng.2019.106248
22546,10.1016/j.oceaneng.2019.106248
22547,10.1016/j.oceaneng.2019.106257
22547,10.1016/j.oceaneng.2019.106257
22548,10.1016/j.oceaneng.2019.106258
22548,10.1016/j.oceaneng.2019.106258
22551,10.1016/j.oceaneng.2019.106271
22551,10.1016/j.oceaneng.2019.106271
22556,10.1016/j.oceaneng.2019.106307
22556,10.1016/j.oceaneng.2019.106307
22557,10.1016/j.oceaneng.2019.106306
22557,10.1016/j.oceaneng.2019.106306
22560,10.1016/j.oceaneng.2019.106296
22560,10.1016/j.oceaneng.2019.106296
22561,10.1016/j.oceaneng.2019.106290
22561,10.1016/j.oceaneng.2019.106290
22566,10.1016/j.oceaneng.2019.106261
22566,10.1016/j.oceaneng.2019.106261
22571,10.1016/j.oceaneng.2019.106283
22571,10.1016/j.oceaneng.2019.106283
22573,10.1016/j.oceaneng.2019.106295
22573,10.1016/j.oceaneng.2019.106295
22586,10.1016/j.oceaneng.2019.106331
22586,10.1016/j.oceaneng.2019.106331
22592,10.1016/j.oceaneng.2019.106140
22592,10.1016/j.oceaneng.2019.106140
22597,10.1016/j.oceaneng.2019.106139
22597,10.1016/j.oceaneng.2019.106139
22598,10.1016/j.oceaneng.2019.106145
22598,10.1016/j.oceaneng.2019.106145
22599,10.1016/j.oceaneng.2019.106151
22599,10.1016/j.oceaneng.2019.106151
22600,10.1016/j.oceaneng.2019.106157
22600,10.1016/j.oceaneng.2019.106157
22613,10.1016/j.oceaneng.2019.06.006
22613,10.1016/j.oceaneng.2019.06.006
22615,10.1016/j.oceaneng.2019.106175
22615,10.1016/j.oceaneng.2019.106175
22618,10.1016/j.oceaneng.2019.06.007
22618,10.1016/j.oceaneng.2019.06.007
22621,10.1016/j.oceaneng.2019.106156
22621,10.1016/j.oceaneng.2019.106156
22627,10.1016/j.oceaneng.2019.106192
22627,10.1016/j.oceaneng.2019.106192
22629,10.1016/j.oceaneng.2019.106212
22629,10.1016/j.oceaneng.2019.106212
22638,10.1016/j.oceaneng.2019.106190
22638,10.1016/j.oceaneng.2019.106190
