,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
4312,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006685,10.1016/j.jhydrol.2021.126620,2021-10-01,S0022169421006685,2-s2.0-85109608422,85109608422.0,11.0,"57194448040, 22735054100, 23974991500, 35738556000, 56227794400, 55708668800, 7202892796, 57814652100",60008506:60008506:60008506:60008506:60008506:60008506:60008506:60008506,True
4323,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421005734,10.1016/j.jhydrol.2021.126526,2021-10-01,S0022169421005734,2-s2.0-85110129121,85110129121.0,50.0,"57207471406, 57225987582, 57196243463, 57211360296, 46361855100, 24597397300",60003467:60001800:60014439:60003467:60032179:60004354,True
4324,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006314,10.1016/j.jhydrol.2021.126584,2021-10-01,S0022169421006314,2-s2.0-85111060332,85111060332.0,5.0,"57226293646, 24335733400, 57521143100, 57211433702","60029445:60029445, 60029445:60016646:60029445",True
4337,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006910,10.1016/j.jhydrol.2021.126643,2021-10-01,S0022169421006910,2-s2.0-85110331331,85110331331.0,30.0,"57210291511, 57211494148, 23973194500, 57205332531, 57210288060, 56299788500","60029306, 60029306:60029306, 60029306, 60019499:60029306, 60029306:60023471:60029306, 60029306:60029306, 60029306",True
4338,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421007186,10.1016/j.jhydrol.2021.126670,2021-10-01,S0022169421007186,2-s2.0-85110502411,85110502411.0,11.0,"57189262754, 12140530100, 37120577500","60007711, 60127212, 60007711:60007711, 60127212, 60007711:60007711, 60127212, 60007711",True
4339,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421007241,10.1016/j.jhydrol.2021.126676,2021-10-01,S0022169421007241,2-s2.0-85111820924,85111820924.0,17.0,"57226524515, 57226530384, 55635834600",124688661:60025488:60025488,True
4340,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006806,10.1016/j.jhydrol.2021.126632,2021-10-01,S0022169421006806,2-s2.0-85111069059,85111069059.0,15.0,"57217169697, 35071605000",60103626:60103626,True
4342,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421007320,10.1016/j.jhydrol.2021.126684,2021-10-01,S0022169421007320,2-s2.0-85111111045,85111111045.0,45.0,"57215845633, 57192207628, 57193681013, 55617053500, 56392960700, 8940417400, 21742320500, 55416288100, 57189255732, 6602615383, 7601413342, 56425315200","60030867:60030867, 60087824:60000872, 60031430:60026420:123894878:60068865:60028378:60027072:60031430, 60104012:60030452:60031430, 60104012:60030867",True
4347,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421007289,10.1016/j.jhydrol.2021.126680,2021-10-01,S0022169421007289,2-s2.0-85111223360,85111223360.0,7.0,"57219669798, 56425884500, 55730901200, 7404181575, 57211980332, 57198491403, 57202994879","60029306, 60029306:60029306, 60029306:60117116:60010348:60029306, 60029306:60029306, 60029306:60029306, 60029306",True
4361,6,36,2021,https://www.sciencedirect.com/science/article/pii/S0022169421005539,10.1016/j.jhydrol.2021.126506,2021-09-01,S0022169421005539,2-s2.0-85107680962,85107680962.0,30.0,"56021636300, 25655379600, 7801498406, 57109763300","60012603:60012603, 60006622:60006622:125791150",True
