affiliation,citations
60088580,117.0
60108496,116.0
60000126,116.0
60013435,116.0
120615393,116.0
60001769,115.0
60128861,115.0
113151786,115.0
60084823,114.0
60029767,114.0
60014652,113.0
60021361,113.0
60012298,113.0
60016653,112.0
60012836,112.0
60001278,112.0
112788515,112.0
60029411,112.0
60072871,112.0
60072185,112.0
60104289,111.0
60004862,111.0
60004518,111.0
60007493,111.0
60032203,111.0
60111963,111.0
60077474,111.0
60019141,110.0
60011846,110.0
60021624,110.0
60018940,110.0
60009507,110.0
60006106,110.0
60114495,110.0
60009506,109.0
60031209,109.0
60029747,109.0
60119973,109.0
60105168,109.0
60071399,108.0
60176034,108.0
60013609,108.0
60234611,108.0
60103734,108.0
120436384,108.0
60016733,108.0
60071885,107.0
60016437,107.0
60106051,107.0
60007183,107.0
60007618,107.0
60019496,107.0
113579766,107.0
60071806,106.0
60109512,106.0
60005096,106.0
60118642,106.0
60030822,106.0
60028897,105.0
60028876,105.0
60030114,105.0
60031040,105.0
60007457,104.0
60025916,104.0
107138256,104.0
60073613,104.0
60010339,103.0
60001187,103.0
60089631,103.0
60021836,102.0
60006508,102.0
60008293,102.0
60014662,102.0
60012259,102.0
60064800,102.0
60016939,102.0
121575933,102.0
113489589,102.0
60021763,101.0
60073530,101.0
60017997,101.0
60273071,101.0
60088079,101.0
121824915,101.0
60107281,101.0
60091645,101.0
60083602,101.0
60038666,101.0
119771695,101.0
60019497,100.0
60089290,100.0
60264294,100.0
60138346,100.0
60089933,100.0
60085173,99.0
60014347,99.0
60106033,99.0
60003295,99.0
60002709,99.0
60014556,99.0
60004969,98.0
121161619,98.0
60072179,98.0
60006225,98.0
60017062,98.0
60007511,98.0
60015780,98.0
60073738,98.0
60021143,98.0
60022175,98.0
60029284,98.0
60030480,98.0
60027314,98.0
60027100,98.0
60010931,97.0
60110223,97.0
60126534,97.0
60009060,97.0
60000509,96.0
60030398,96.0
60019702,96.0
60073555,96.0
60013805,96.0
60027709,96.0
60019816,95.0
60024872,95.0
60006514,95.0
60027682,95.0
60001490,95.0
60010164,95.0
60077233,95.0
60025615,95.0
60090790,95.0
60030447,94.0
60117660,94.0
60027844,94.0
60025960,94.0
60031706,94.0
60003321,94.0
60020306,94.0
101908492,94.0
117232604,94.0
60123045,94.0
60135828,93.0
60013789,93.0
60026710,93.0
60023636,93.0
60033284,93.0
119853993,93.0
60015875,92.0
60071884,92.0
60005681,92.0
109491169,92.0
60002299,92.0
60025945,92.0
60033473,92.0
118664216,92.0
60025641,92.0
60105942,92.0
110475268,92.0
60014618,92.0
60070818,92.0
121764089,91.0
106347127,91.0
60083511,91.0
60104687,91.0
121976962,91.0
117551310,91.0
60275322,91.0
105907025,90.0
60082291,90.0
107392848,90.0
60070610,90.0
60070321,90.0
100326843,90.0
118510949,90.0
60012455,90.0
60005286,89.0
60030089,89.0
60273019,89.0
60030245,89.0
60013610,89.0
60021666,89.0
60014643,89.0
60083745,89.0
60104057,89.0
60031991,89.0
60273043,89.0
60012799,89.0
60011402,89.0
60024594,88.0
60001456,88.0
60026169,88.0
60101794,88.0
60274277,88.0
60001737,88.0
60026263,88.0
60104323,88.0
60001881,87.0
60025288,87.0
60023539,87.0
60231664,87.0
60000159,87.0
60023018,87.0
60014277,87.0
60031135,87.0
