id,eid,name,cited-by,citations
56595958500,9-s2.0-56595958500,Jianjun Yin,310,356
56344547600,9-s2.0-56344547600,Wei Tang,78,84
57190496677,9-s2.0-57190496677,Zhijun Wang,245,284
36634682600,9-s2.0-36634682600,Junbing Pu,538,698
57211942835,9-s2.0-57211942835,Gaoyong Lan,49,51
44361438000,9-s2.0-44361438000,Hui Yang,546,609
56091279600,9-s2.0-56091279600,Xia Wu,309,339
56816057500,9-s2.0-56816057500,Jianhong Li,206,279
55656765100,9-s2.0-55656765100,Mingjin Zhang,286,438
57281618800,9-s2.0-57281618800,Yude Zhu,32,61
57221114864,9-s2.0-57221114864,Weiyang Zhao,28,37
56166233900,9-s2.0-56166233900,Sean W.D. Turner,670,884
57243563800,9-s2.0-57243563800,Jennie Clarice Steyaert,14,18
57242791300,9-s2.0-57242791300,Sepideh Emami Tabrizi,16,16
55129739300,9-s2.0-55129739300,Kai Xiao,186,198
23010872800,9-s2.0-23010872800,Jesse L. Thé,599,643
57548444100,9-s2.0-57548444100,Muhammad Saad,16,16
57281389600,9-s2.0-57281389600,Simon X. Yang,394,406
57199449836,9-s2.0-57199449836,Jiayi Cheng,182,194
8948923400,9-s2.0-8948923400,Jianbo Han,493,555
57155279500,9-s2.0-57155279500,Xiaomeng Wang,256,296
57195036974,9-s2.0-57195036974,Zhengxian Yang,32,32
57212659576,9-s2.0-57212659576,Xiaoxia Zhang,23,25
57209619350,9-s2.0-57209619350,Yang Liu,94,98
12240469400,9-s2.0-12240469400,Hongxing Liu,4203,4848
57070565000,9-s2.0-57070565000,Lei Wang,2150,2367
57157925000,9-s2.0-57157925000,Min Xu,295,348
24314719100,9-s2.0-24314719100,Sagy Cohen,1022,1248
57197929217,9-s2.0-56472102300,Kai Liu,1169,1306
57197778761,9-s2.0-57197778761,Chenguang Song,115,129
57218962608,9-s2.0-57218962608,Leihua Yao,414,440
57222388243,9-s2.0-57222388243,Chengya Hua,74,82
57222384497,9-s2.0-57222384497,Qihang Ni,74,82
57072332700,9-s2.0-57072332700,Tao Ma,112,112
57207048020,9-s2.0-57207048020,Mourad Aqnouy,48,71
23767324400,9-s2.0-23767324400,Jamal Eddine Stitou El Messari,119,136
57215498565,9-s2.0-57215498565,Milad Nouri,256,346
24171055700,9-s2.0-24171055700,Mehdi Homaee,2927,3646
57246140600,9-s2.0-57246140600,Hua Liu,0,0
56305544800,9-s2.0-56305544800,Zengwen Gao,41,48
57221746769,9-s2.0-57221746769,Jing Li,152,152
15755329600,9-s2.0-15755329600,Matthew J. Currell,2330,2712
57195508372,9-s2.0-57195508372,Yongguo Yao,30,31
54415239100,9-s2.0-54415239100,Yuchuan Zhang,51,52
57250645000,9-s2.0-57250645000,Xulong Gao,6,6
57250992800,9-s2.0-57250992800,Hongwei Huang,6,6
57251107600,9-s2.0-57251107600,Dongfa Liu,6,6
57250407500,9-s2.0-57250407500,Xinqin Hui,6,6
55506599900,9-s2.0-55506599900,Yuehan Lu,1149,1387
57202773994,9-s2.0-57202773994,Shuo Chen,96,107
7006172940,9-s2.0-7006172940,Peng Shang,6209,7385
55481890100,9-s2.0-55481890100,Yuan Xia,56,60
56845726300,9-s2.0-56845726300,Harsha S. Fowdar,241,286
55246865100,9-s2.0-55246865100,Christelle Schang,311,351
