,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
2331,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169422016213,10.1016/j.jhydrol.2022.129051,2023-02-01,S0022169422016213,2-s2.0-85146679652,85146679652.0,0.0,"57210583024, 55938447500, 23988505100",60013323:60013323:60013323,True
2332,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000501,10.1016/j.jhydrol.2023.129108,2023-02-01,S0022169423000501,2-s2.0-85149740625,85149740625.0,0.0,"57215422257, 15759762900, 54411569700, 57188986779, 56384158800","60029306:60029306:60029306:60007155, 60000745:113162280",True
2333,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000550,10.1016/j.jhydrol.2023.129113,2023-02-01,S0022169423000550,2-s2.0-85146590334,85146590334.0,0.0,"58072302000, 45661390900, 6506746938, 56037444100, 7005361344, 6701776007","60008134:60008134:60008134:60008134, 129102355:60008134:60008134",True
2334,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000860,10.1016/j.jhydrol.2023.129144,2023-02-01,S0022169423000860,2-s2.0-85146944916,85146944916.0,1.0,"57201131218, 7005282479, 12645025400, 8636664800",60025063:60025063:60025063:60025063,True
2338,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000343,10.1016/j.jhydrol.2023.129092,2023-02-01,S0022169423000343,2-s2.0-85146896981,85146896981.0,0.0,"57190004223, 36599453500, 25930900500",60118022:60118022:60118244,True
2340,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000239,10.1016/j.jhydrol.2023.129081,2023-02-01,S0022169423000239,2-s2.0-85146563667,85146563667.0,0.0,"57204606657, 7003379342","60003269:60003269, 60003269",True
2341,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000720,10.1016/j.jhydrol.2023.129130,2023-02-01,S0022169423000720,2-s2.0-85146656625,85146656625.0,0.0,"57211627077, 56767547500, 58074061700, 58075122200, 7101774195, 57779033100","60016521, 60016521:60016521, 129106583, 60016521, 60017592:60017592:129106583:60003970:60016521, 60016521",True
2342,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000422,10.1016/j.jhydrol.2023.129100,2023-02-01,S0022169423000422,2-s2.0-85146728701,85146728701.0,5.0,"57216340261, 57195982294, 57194760236, 57218657147, 57207776022, 56684747900","60022927:60027884:60016248, 60004935:60016248:60118023:124654923",True
2343,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000203,10.1016/j.jhydrol.2023.129078,2023-02-01,S0022169423000203,2-s2.0-85146657044,85146657044.0,0.0,"56566735100, 36166834200, 7102789132, 7007160870, 6701652168",60026553:60026553:60026553:60006925:60015481,True
2344,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000987,10.1016/j.jhydrol.2023.129156,2023-02-01,S0022169423000987,2-s2.0-85147092965,85147092965.0,1.0,"12807936000, 57194684513, 58083346200, 58078457400, 57208213247, 56150550000, 24174244800",60021227:60021227:112575961:60021227:60021227:60021227:60005488,True
2345,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000719,10.1016/j.jhydrol.2023.129129,2023-02-01,S0022169423000719,2-s2.0-85147189929,85147189929.0,3.0,"57215660826, 36169127300, 57212555627, 55323514200, 16305686100, 15765165800","60025187, 60025187:60267250, 60022319:60004354:60015138:60009512:60267250, 60022319",True
2347,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000768,10.1016/j.jhydrol.2023.129134,2023-02-01,S0022169423000768,2-s2.0-85147246486,85147246486.0,0.0,"57196590735, 57190136924, 57211960428, 36460381400, 6603132750, 7103272759, 35855361500","60000221, 60000221:60016933:60014965:60013402:60000221, 60000221:60000221, 60000221:60000221, 60000221",True
2349,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423001087,10.1016/j.jhydrol.2023.129166,2023-02-01,S0022169423001087,2-s2.0-85147192222,85147192222.0,2.0,"56381839400, 58086144200, 56149846700, 57948796200, 56579671500","60019533:60019533:60019533, 60022149:60019533:60019533",True
2351,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000926,10.1016/j.jhydrol.2023.129150,2023-02-01,S0022169423000926,2-s2.0-85146999786,85146999786.0,0.0,"58081632300, 58081632400, 58082157100, 58082333400, 57205165874, 58081289100","60023131, 60018938:60018938:60018938:60018938:126359291, 124583124:60023131, 60018938, 60091006",True
2352,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000756,10.1016/j.jhydrol.2023.129133,2023-02-01,S0022169423000756,2-s2.0-85147089656,85147089656.0,1.0,"57216995977, 56724327700, 12809741500, 58019084900, 57204217552, 23991568200","60010884:60010884, 60000673:60014171:60010884:60010884:60010884",True
2355,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422014524,10.1016/j.jhydrol.2022.128882,2023-02-01,S0022169422014524,2-s2.0-85144610987,85144610987.0,0.0,"58028442000, 16402135900, 57220012253",60028265:60028265:100571673,True
2358,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015438,10.1016/j.jhydrol.2022.128973,2023-02-01,S0022169422015438,2-s2.0-85144378007,85144378007.0,1.0,"37072122800, 57437734300, 8606808800, 58024446800, 12240170600, 55743064800, 36437134600","60002345, 60019499:60002345, 60019499:60002345, 60019499:60002345, 60019499:60002345, 60019499:60002345, 60019499:60021182",True
2361,6,10,2023,https://www.sciencedirect.com/science/article/pii/S0022169422015244,10.1016/j.jhydrol.2022.128954,2023-02-01,S0022169422015244,2-s2.0-85144356514,85144356514.0,4.0,"57219924933, 24399232900, 58024253100, 24479097100",60022927:60022927:60022927:60071768,True
